epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,19.3145,2.34938,0.24088,0.74453,2.34162,0.000233966,0.000233966,0.000233966
2,36.3892,1.95826,0.40876,0.86861,2.23885,0.000470798,0.000470798,0.000470798
3,53.127,1.60129,0.56934,0.94161,2.09894,0.000706452,0.000706452,0.000706452
4,69.7212,1.35167,0.64234,0.9854,2.00465,0.000708699,0.000708699,0.000708699
5,87.7932,1.22224,0.59854,0.9708,2.03682,0.000706931,0.000706931,0.000706931
6,106.527,1.05771,0.69343,0.9708,1.94319,0.000705164,0.000705164,0.000705164
7,124.136,1.06668,0.70073,1,1.93213,0.000703397,0.000703397,0.000703397
8,142.306,0.90845,0.72993,1,1.87922,0.00070163,0.00070163,0.00070163
9,159.599,0.94282,0.72993,1,1.89971,0.000699863,0.000699863,0.000699863
10,176.842,0.78981,0.74453,0.9927,1.89421,0.000698096,0.000698096,0.000698096
11,196.737,0.782,0.73723,0.9927,1.87086,0.000696328,0.000696328,0.000696328
12,216.34,0.76032,0.78102,0.9927,1.82804,0.000694561,0.000694561,0.000694561
13,237.993,0.81866,0.77372,1,1.82813,0.000692794,0.000692794,0.000692794
14,255.75,0.79923,0.79562,1,1.81173,0.000691027,0.000691027,0.000691027
15,273.136,0.75083,0.73723,0.9854,1.84012,0.00068926,0.00068926,0.00068926
16,290.736,0.67405,0.75182,1,1.82913,0.000687493,0.000687493,0.000687493
17,308.229,0.64848,0.75182,1,1.83629,0.000685726,0.000685726,0.000685726
18,326.199,0.60658,0.82482,0.9927,1.77614,0.000683958,0.000683958,0.000683958
19,344.403,0.6786,0.78102,1,1.79059,0.000682191,0.000682191,0.000682191
20,362.652,0.57689,0.79562,1,1.80004,0.000680424,0.000680424,0.000680424
21,381.616,0.53155,0.86131,1,1.74793,0.000678657,0.000678657,0.000678657
22,400.029,0.61182,0.81022,0.9927,1.77511,0.00067689,0.00067689,0.00067689
23,418.666,0.5843,0.83942,1,1.772,0.000675123,0.000675123,0.000675123
24,436.727,0.59557,0.80292,1,1.7716,0.000673356,0.000673356,0.000673356
25,454.318,0.5426,0.79562,1,1.78892,0.000671588,0.000671588,0.000671588
26,475.474,0.53458,0.82482,1,1.76437,0.000669821,0.000669821,0.000669821
27,493.709,0.55641,0.83942,0.9927,1.76507,0.000668054,0.000668054,0.000668054
28,513.372,0.44288,0.81022,1,1.77855,0.000666287,0.000666287,0.000666287
29,532.048,0.51439,0.81752,0.9927,1.76619,0.00066452,0.00066452,0.00066452
30,550.138,0.50536,0.80292,0.9927,1.77003,0.000662753,0.000662753,0.000662753
31,568.705,0.53748,0.79562,1,1.7518,0.000660986,0.000660986,0.000660986
32,587.968,0.48304,0.78832,1,1.76465,0.000659218,0.000659218,0.000659218
33,606.67,0.53364,0.78832,1,1.76933,0.000657451,0.000657451,0.000657451
34,624.409,0.48472,0.79562,1,1.75612,0.000655684,0.000655684,0.000655684
35,642.242,0.48481,0.85401,0.9927,1.73013,0.000653917,0.000653917,0.000653917
36,660.055,0.37901,0.82482,0.9927,1.75927,0.00065215,0.00065215,0.00065215
37,677.907,0.49401,0.81752,1,1.73818,0.000650383,0.000650383,0.000650383
38,696.133,0.47414,0.81752,1,1.76255,0.000648615,0.000648615,0.000648615
39,713.973,0.43671,0.81752,0.9927,1.7645,0.000646848,0.000646848,0.000646848
40,731.718,0.46831,0.82482,0.9927,1.7402,0.000645081,0.000645081,0.000645081
41,749.294,0.43735,0.84672,1,1.74472,0.000643314,0.000643314,0.000643314
