epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.046,0.72477,1.14328,3.79906,0.87577,0.04405,0.98089,0.20843,0.17069,0.04405,0.98089,0.20892,0.1767,0.67817,1.1008,3.46106,0.82174,0.00015,0.00015,0.00015
2,207.247,0.71724,0.84305,3.18987,0.84372,0.02769,0.99167,0.20458,0.15954,0.02792,0.99583,0.20485,0.16801,0.76473,1.18456,3.30431,0.82394,0.000309233,0.000309233,0.000309233
3,304.793,0.75717,0.88906,2.66326,0.84593,0.03115,1,0.24409,0.19202,0.03115,1,0.24409,0.20054,0.72185,1.07897,3.27828,0.82358,0.000467673,0.000467673,0.000467673
4,401.412,0.75615,0.79489,2.24017,0.85552,0.0353,0.96435,0.30464,0.24865,0.0353,0.96435,0.30464,0.25632,0.72825,1.21968,3.23931,0.84405,0.000625322,0.000625322,0.000625322
5,495.554,0.74642,0.76499,1.92056,0.86363,0.5533,0.15798,0.27832,0.22263,0.34662,0.15989,0.27794,0.2229,0.74159,1.51616,3.16374,0.85432,0.000782179,0.000782179,0.000782179
6,591.392,0.74078,0.7982,1.76965,0.86661,0.89034,0.10913,0.29025,0.23374,0.89034,0.10913,0.28979,0.24176,0.72724,1.21581,2.92133,0.85305,0.000938244,0.000938244,0.000938244
7,686.89,0.68696,0.72595,1.64719,0.84981,0.51041,0.31089,0.40179,0.32308,0.51041,0.31089,0.4022,0.34003,0.74324,1.01342,2.40939,0.86458,0.00098515,0.00098515,0.00098515
8,782.599,0.72277,0.71772,1.54231,0.85486,0.38319,0.65424,0.51823,0.42025,0.38319,0.65424,0.51832,0.43523,0.70628,0.94582,1.91241,0.86747,0.000982675,0.000982675,0.000982675
9,877.564,0.67215,0.75959,1.55591,0.85741,0.37838,0.61615,0.48731,0.38495,0.37838,0.61615,0.48731,0.38426,0.73526,1.23875,2.23209,0.86986,0.0009802,0.0009802,0.0009802
10,974.234,0.71595,0.7861,1.50182,0.87033,0.49532,0.63471,0.55743,0.44019,0.49532,0.63471,0.55743,0.45756,0.83594,1.06012,2.31879,0.89892,0.000977725,0.000977725,0.000977725
11,1069.92,0.69987,0.74971,1.35179,0.85179,0.55811,0.67082,0.64366,0.51623,0.55811,0.67082,0.64366,0.52447,0.70171,1.09685,1.85184,0.88108,0.00097525,0.00097525,0.00097525
12,1165.03,0.64515,0.71787,1.2686,0.84397,0.50411,0.71123,0.59653,0.48028,0.52421,0.7154,0.59902,0.49354,0.72626,0.99726,1.72073,0.88747,0.000972775,0.000972775,0.000972775
13,1259.77,0.6339,0.69424,1.17509,0.84886,0.66755,0.51291,0.46437,0.37383,0.66755,0.51291,0.46393,0.3835,0.75632,1.22911,1.80163,0.91135,0.0009703,0.0009703,0.0009703
14,1355.39,0.63562,0.69216,1.15514,0.8487,0.60704,0.61111,0.53201,0.44609,0.60704,0.61111,0.52964,0.44577,0.65656,1.08524,1.64799,0.87636,0.000967825,0.000967825,0.000967825
15,1450.05,0.64226,0.68673,1.08312,0.84813,0.83393,0.4623,0.45394,0.37554,0.83393,0.4623,0.45394,0.38393,0.66265,1.05015,1.95982,0.87557,0.00096535,0.00096535,0.00096535
16,1546.45,0.60722,0.701,1.05449,0.85158,0.7401,0.59715,0.68037,0.57667,0.7401,0.59715,0.68037,0.57237,0.63132,1.01503,1.5729,0.86816,0.000962875,0.000962875,0.000962875
17,1641.74,0.60162,0.69883,0.99581,0.84149,0.65468,0.57959,0.63356,0.53638,0.65468,0.57959,0.63333,0.53777,0.64299,0.95503,1.96569,0.87325,0.0009604,0.0009604,0.0009604
18,1736.78,0.59917,0.66563,0.99745,0.84108,0.6521,0.55405,0.61271,0.50482,0.6521,0.55405,0.61271,0.50341,0.68548,1.00076,2.09235,0.87685,0.000957925,0.000957925,0.000957925
19,1832.22,0.60168,0.69097,0.9349,0.83592,0.77774,0.67678,0.67161,0.57324,0.77774,0.67678,0.67161,0.5695,0.6081,1.02679,1.51232,0.86127,0.00095545,0.00095545,0.00095545
20,1926.89,0.60248,0.68468,0.97152,0.83926,0.67277,0.69113,0.71053,0.60737,0.67277,0.69113,0.71053,0.60385,0.61734,1.05229,1.42709,0.85974,0.000952975,0.000952975,0.000952975
21,2021.14,0.60764,0.68389,0.9219,0.846,0.67455,0.68494,0.74367,0.61269,0.67455,0.68494,0.74367,0.61462,0.68924,1.02561,1.3788,0.89382,0.0009505,0.0009505,0.0009505
22,2115.69,0.6135,0.65946,0.95789,0.8508,0.63774,0.58562,0.58987,0.49554,0.63774,0.58562,0.58991,0.49535,0.65447,1.00458,2.10916,0.86895,0.000948025,0.000948025,0.000948025
23,2210.85,0.5801,0.63072,0.8881,0.83578,0.6659,0.60805,0.64415,0.53972,0.6659,0.60805,0.64415,0.53951,0.65636,0.98603,1.63909,0.87068,0.00094555,0.00094555,0.00094555
24,2298.45,0.58629,0.67831,0.84367,0.82973,0.6257,0.71573,0.74694,0.62673,0.6257,0.71573,0.74694,0.62381,0.6199,0.93156,1.49796,0.87269,0.000943075,0.000943075,0.000943075
25,2382.14,0.59505,0.68064,0.80766,0.84625,0.60714,0.56617,0.65852,0.5588,0.60714,0.56617,0.65852,0.55649,0.61921,0.91933,1.72719,0.86809,0.0009406,0.0009406,0.0009406
26,2463.4,0.56796,0.67281,0.83318,0.84017,0.64301,0.57186,0.67614,0.57644,0.64301,0.57186,0.67614,0.5725,0.62429,0.91504,1.67815,0.87074,0.000938125,0.000938125,0.000938125
27,2545.76,0.59963,0.6676,0.84051,0.84448,0.65599,0.73735,0.74699,0.62714,0.65599,0.73735,0.74699,0.62457,0.6285,0.95523,1.28162,0.87422,0.00093565,0.00093565,0.00093565
28,2626.45,0.56596,0.65077,0.80669,0.84117,0.8073,0.8595,0.87091,0.73544,0.8073,0.8595,0.87091,0.7417,0.62009,0.92608,0.95539,0.87949,0.000933175,0.000933175,0.000933175
29,2707.97,0.57406,0.64021,0.82244,0.83468,0.73704,0.79021,0.82783,0.69725,0.73704,0.79021,0.82783,0.69621,0.63467,0.93816,1.01803,0.88363,0.0009307,0.0009307,0.0009307
30,2789.37,0.57302,0.63365,0.7698,0.83263,0.81822,0.79423,0.86518,0.7366,0.81822,0.79423,0.86518,0.73439,0.60943,0.90374,0.88202,0.87393,0.000928225,0.000928225,0.000928225
31,2871.55,0.56879,0.6287,0.75832,0.82908,0.77347,0.81534,0.8601,0.71616,0.77347,0.81534,0.8601,0.72277,0.61807,0.94937,1.00547,0.8801,0.00092575,0.00092575,0.00092575
32,2954.26,0.5871,0.64961,0.73195,0.83541,0.73942,0.78797,0.83904,0.70584,0.73942,0.78797,0.83904,0.70543,0.59382,0.91915,1.07634,0.87053,0.000923275,0.000923275,0.000923275
33,3035.99,0.55831,0.6255,0.70608,0.83278,0.75403,0.77473,0.81709,0.69648,0.75403,0.77473,0.81709,0.69645,0.58814,0.8843,1.1055,0.8741,0.0009208,0.0009208,0.0009208
34,3117.29,0.55842,0.60814,0.72304,0.83729,0.70543,0.76936,0.81744,0.69479,0.70543,0.76936,0.81751,0.6998,0.60794,0.90708,1.24728,0.87576,0.000918325,0.000918325,0.000918325
35,3198.11,0.56143,0.60471,0.73366,0.8377,0.76094,0.6915,0.79432,0.68023,0.76094,0.6915,0.79476,0.67765,0.61048,0.91192,1.24525,0.87497,0.00091585,0.00091585,0.00091585
36,3278.84,0.58908,0.621,0.71732,0.83978,0.70887,0.82522,0.81442,0.69544,0.70887,0.82522,0.81442,0.69161,0.61281,0.89105,1.07562,0.86969,0.000913375,0.000913375,0.000913375
37,3360.49,0.56685,0.63197,0.67091,0.83387,0.69933,0.8163,0.84187,0.7125,0.69933,0.8163,0.84187,0.70951,0.60916,0.96643,1.18347,0.86892,0.0009109,0.0009109,0.0009109
38,3442.19,0.59486,0.66328,0.69597,0.83889,0.71041,0.7676,0.83025,0.70056,0.71041,0.7676,0.83025,0.70623,0.60508,0.90571,1.28827,0.86736,0.000908425,0.000908425,0.000908425
39,3522.76,0.56359,0.64191,0.67847,0.83587,0.70972,0.74393,0.81655,0.68727,0.70972,0.74393,0.81655,0.68276,0.61625,0.93801,1.23733,0.87828,0.00090595,0.00090595,0.00090595
40,3603.77,0.55045,0.59197,0.67544,0.83229,0.71814,0.73892,0.7924,0.67463,0.71814,0.73892,0.79247,0.66887,0.60833,0.93213,1.38547,0.87606,0.000903475,0.000903475,0.000903475
41,3685.15,0.55261,0.62052,0.68537,0.82674,0.71847,0.57787,0.69613,0.59617,0.71847,0.57787,0.69614,0.5901,0.57696,0.92126,1.60524,0.8618,0.000901,0.000901,0.000901
42,3766.29,0.54842,0.62215,0.64879,0.83306,0.71549,0.71246,0.79851,0.68394,0.71549,0.71246,0.7984,0.6748,0.56421,0.90858,1.28243,0.85788,0.000898525,0.000898525,0.000898525
43,3847.27,0.5593,0.62329,0.65505,0.8262,0.7287,0.7655,0.78664,0.67028,0.7287,0.7655,0.78664,0.67248,0.56301,0.8601,1.05941,0.85593,0.00089605,0.00089605,0.00089605
